City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuatapere,NZ,-46.1333,167.6833,48.0,80,4,8.01,clear sky
1,Mataura,NZ,-46.1927,168.8643,48.0,80,30,8.01,scattered clouds
2,Atuona,PF,-9.8,-139.0333,78.64,76,3,18.92,clear sky
3,Jamestown,US,42.097,-79.2353,21.0,73,90,16.11,light snow
4,Khatanga,RU,71.9667,102.5,-45.09,73,0,2.08,clear sky
5,Launceston,AU,-41.45,147.1667,62.6,94,90,9.22,moderate rain
6,Sao Filipe,CV,14.8961,-24.4956,75.13,63,84,9.6,broken clouds
7,Grindavik,IS,63.8424,-22.4338,35.6,75,90,10.36,overcast clouds
8,Kapaa,US,22.0752,-159.319,73.99,78,75,20.71,broken clouds
9,Tadine,NC,-21.55,167.8833,76.93,79,54,16.62,broken clouds
10,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,75,9.22,light rain
11,Raga,SS,8.4596,25.678,77.88,16,54,8.12,broken clouds
12,Tjome,NO,59.1109,10.3933,12.2,85,0,3.44,clear sky
13,Busselton,AU,-33.65,115.3333,62.01,81,0,4.0,clear sky
14,Arman,RU,59.7,150.1667,-16.6,78,26,11.39,scattered clouds
15,Puerto Suarez,BO,-18.95,-57.8,89.6,74,75,11.5,broken clouds
16,Isangel,VU,-19.55,169.2667,75.2,88,20,14.36,few clouds
17,Albany,US,42.6001,-73.9662,17.01,44,72,11.01,broken clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,65,0,19.57,clear sky
19,Uchiza,PE,-8.4592,-76.4633,84.69,62,42,2.3,scattered clouds
20,Rikitea,PF,-23.1203,-134.9692,79.68,67,100,5.57,overcast clouds
21,Barrow,US,71.2906,-156.7887,-11.2,70,90,10.36,overcast clouds
22,Bluff,NZ,-46.6,168.3333,48.0,80,90,8.01,overcast clouds
23,Severo-Kurilsk,RU,50.6789,156.125,20.3,92,99,16.26,overcast clouds
24,Guerrero Negro,MX,27.9769,-114.0611,65.84,54,0,11.7,clear sky
25,Port Alfred,ZA,-33.5906,26.891,64.99,88,0,1.99,clear sky
26,Hobart,AU,-42.8794,147.3294,61.0,94,40,8.05,scattered clouds
27,Narsaq,GL,60.9167,-46.05,44.6,29,75,26.46,broken clouds
28,Leningradskiy,RU,69.3833,178.4167,-23.96,84,95,8.86,overcast clouds
29,San Pedro De Macoris,DO,18.4616,-69.2972,87.8,51,20,11.5,few clouds
30,Kijang,KR,35.2442,129.2139,24.8,39,0,9.22,clear sky
31,Vaini,TO,-21.2,-175.2,77.0,94,75,13.8,light rain
32,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,13.8,light rain
33,East London,ZA,-33.0153,27.9116,72.66,62,16,2.62,few clouds
34,Kruisfontein,ZA,-34.0033,24.7314,64.0,78,1,1.01,clear sky
35,Bredasdorp,ZA,-34.5322,20.0403,63.0,84,92,5.1,overcast clouds
36,Komsomolskiy,UZ,40.4272,71.7189,33.8,44,36,4.61,scattered clouds
37,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,82,20,6.91,few clouds
38,Provideniya,RU,64.3833,-173.3,-9.11,82,91,9.19,overcast clouds
39,Gohpur,IN,26.8833,93.6333,59.31,53,4,1.3,clear sky
40,Hetauda,NP,27.4284,85.0322,42.8,87,20,3.44,few clouds
41,Torbay,CA,47.6666,-52.7314,28.0,86,90,18.41,light intensity drizzle
42,Shimoda,JP,34.6667,138.95,30.0,62,0,21.65,clear sky
43,Kodiak,US,57.79,-152.4072,33.8,69,75,16.11,broken clouds
44,Cidreira,BR,-30.1811,-50.2056,80.35,87,100,7.85,overcast clouds
45,Katsina,NG,12.9894,7.6006,70.59,21,0,10.54,clear sky
46,Hithadhoo,MV,-0.6,73.0833,81.19,77,51,8.68,broken clouds
47,Dawlatabad,AF,36.4141,64.9053,45.09,54,0,3.15,clear sky
48,Inhambane,MZ,-23.865,35.3833,80.6,89,20,4.18,few clouds
49,Punta Arenas,CL,-53.15,-70.9167,50.0,62,75,23.02,broken clouds
50,Meulaboh,ID,4.1363,96.1285,73.62,90,100,6.87,overcast clouds
51,Socorro,US,31.6546,-106.3033,55.4,41,90,5.75,overcast clouds
52,Hermanus,ZA,-34.4187,19.2345,63.0,84,82,3.0,broken clouds
53,Zhigansk,RU,66.7697,123.3711,-45.85,76,76,10.56,broken clouds
54,Tuy Hoa,VN,13.0833,109.3,67.51,86,93,8.39,overcast clouds
55,Umm Lajj,SA,25.0213,37.2685,65.32,51,25,11.74,scattered clouds
