City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,78.64,clear sky,-9.8,-139.0333,Villa Enata
6,Sao Filipe,CV,75.13,broken clouds,14.8961,-24.4956,Tortuga B&B
8,Kapaa,US,73.99,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
10,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
15,Puerto Suarez,BO,89.6,broken clouds,-18.95,-57.8,Hotel casa real
16,Isangel,VU,75.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
18,Arraial Do Cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
19,Uchiza,PE,84.69,scattered clouds,-8.4592,-76.4633,Hotel San Pedro
20,Rikitea,PF,79.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
24,Guerrero Negro,MX,65.84,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
29,San Pedro De Macoris,DO,87.8,few clouds,18.4616,-69.2972,Apartahotel Guaraguao
31,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
32,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
33,East London,ZA,72.66,few clouds,-33.0153,27.9116,Tu Casa
44,Cidreira,BR,80.35,overcast clouds,-30.1811,-50.2056,Hotel Castelo
45,Katsina,NG,70.59,clear sky,12.9894,7.6006,Katsina Motel
46,Hithadhoo,MV,81.19,broken clouds,-0.6,73.0833,Scoop Guest House
48,Inhambane,MZ,80.6,few clouds,-23.865,35.3833,Oceano
50,Meulaboh,ID,73.62,overcast clouds,4.1363,96.1285,Kost Pria
54,Tuy Hoa,VN,67.51,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
55,Umm Lajj,SA,65.32,scattered clouds,25.0213,37.2685,Moon light Furnished Units
57,Matamoros,MX,77.0,few clouds,25.5333,-103.25,Quinta Belem
59,Butaritari,KI,80.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
60,Verrettes,HT,84.2,few clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
61,Vila Velha,BR,86.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
62,Puerto Colombia,CO,84.2,clear sky,10.9878,-74.9547,Hotel El Emigrante
63,Quelimane,MZ,82.4,broken clouds,-17.8786,36.8883,Hotel Flamingo
64,Salalah,OM,73.4,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
65,Poum,NC,79.18,clear sky,-20.2333,164.0167,Gîte kajeon
66,Ocampo,MX,65.8,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
72,Sao Joao Da Barra,BR,84.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
77,Bandarbeyla,SO,73.74,few clouds,9.4942,50.8122,JABIR HOTEL
89,Kudahuvadhoo,MV,81.3,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
90,Itaituba,BR,88.72,overcast clouds,-4.2761,-55.9836,Hotel Campos
91,Moerai,PF,80.55,clear sky,-22.4333,-151.3333,Le Manotel
93,San Patricio,US,73.4,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
98,Chuy,UY,78.46,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
99,Tanete,ID,75.29,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
100,Katiola,CI,86.0,clear sky,8.1333,-5.1,Kakoumani
101,Sinnamary,GF,78.31,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
102,Labuhan,ID,77.58,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
110,Pedernales,DO,79.84,clear sky,18.0384,-71.744,Hotel Costa Marina
111,Batemans Bay,AU,69.01,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
114,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
115,Hilo,US,69.8,mist,19.7297,-155.09,Hilo Hawaiian Hotel
121,Los Llanos De Aridane,ES,66.99,few clouds,28.6585,-17.9182,Valle Aridane
122,Mogadishu,SO,76.71,clear sky,2.0371,45.3438,Hotel Juba
124,Mount Isa,AU,80.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
127,Castro,BR,69.21,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
128,Cape Town,ZA,70.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
136,Caraballeda,VE,86.0,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
143,Yanam,IN,69.06,broken clouds,16.7333,82.2167,The Regency Hotel
144,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
145,Geraldton,AU,82.4,clear sky,-28.7667,114.6,Broadwater Mariner Resort
150,Valparaiso,CL,73.4,clear sky,-33.0393,-71.6273,Hotel Ultramar
151,Cabo San Lucas,MX,82.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
154,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
155,Vung Tau,VN,73.49,overcast clouds,10.345999999999998,107.0843,Seaside Resort
158,General Roca,AR,71.6,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
160,Bengkulu,ID,75.58,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
164,Hualmay,PE,75.87,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
165,Port Hedland,AU,80.6,few clouds,-20.3167,118.5667,The Esplanade Hotel
170,Namibe,AO,73.78,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
171,Porto Nacional,BR,86.0,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
173,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
174,Hwange,ZW,68.94,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
176,Nuevitas,CU,75.2,scattered clouds,21.5453,-77.2644,Hotel Caonaba
177,Kampong Thum,KH,68.65,broken clouds,12.7111,104.8887,Sambor Village Hotel
179,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
190,Ocotal,NI,81.77,scattered clouds,13.6321,-86.4752,Hotel Mirador
197,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
198,Lorengau,PG,82.24,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
199,Ogbomosho,NG,87.8,clear sky,8.133,4.25,Living Soul Garden Hotel
200,Porto Walter,BR,82.89,clear sky,-8.2686,-72.7439,Secretaria de saúde
201,Nuoro,IT,66.2,clear sky,40.3211,9.3297,Hotel Sandalia
203,Mar Del Plata,AR,80.6,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
206,Tabou,CI,78.03,broken clouds,4.423,-7.3528,hotêl doufoulougou
209,Loiza,PR,80.6,scattered clouds,18.4313,-65.8802,Malibu Beachfront
225,Pangkalanbuun,ID,73.99,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
226,Richards Bay,ZA,72.46,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
228,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
229,Marquelia,MX,86.81,broken clouds,16.5833,-98.8167,Hotel Chavez
231,Mana,GF,78.3,overcast clouds,5.6592,-53.7767,LE SAMANA
240,Pimentel,PE,80.6,broken clouds,-6.8367,-79.9342,Casona Del Muelle
246,Santa Maria Da Boa Vista,BR,88.88,overcast clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
