City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Buchanan,LR,5.8808,-10.0467,87.8,70,75,8.05,light rain
1,Clyde River,CA,70.4692,-68.5914,-11.2,77,1,2.3,clear sky
2,Touros,BR,-5.1989,-35.4608,87.8,51,20,13.8,few clouds
3,Freetown,SL,8.484,-13.2299,87.8,58,0,9.22,haze
4,Faanui,PF,-16.4833,-151.75,80.92,66,38,7.27,scattered clouds
5,Vila Velha,BR,-20.3297,-40.2925,90.0,58,20,18.41,few clouds
6,Kamaishi,JP,39.2667,141.8833,27.73,90,47,22.82,light snow
7,Upernavik,GL,72.7868,-56.1549,-9.06,80,30,12.01,scattered clouds
8,Rikitea,PF,-23.1203,-134.9692,79.12,69,80,4.76,light rain
9,Gogrial,SS,8.5332,28.1004,85.89,14,11,4.09,few clouds
10,Butaritari,KI,3.0707,172.7902,80.22,80,100,16.87,overcast clouds
11,Jiangyou,CN,31.7667,104.7167,44.96,76,51,3.18,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,48.2,53,75,16.11,broken clouds
13,Francistown,BW,-21.17,27.5079,69.8,100,75,5.75,broken clouds
14,Hermanus,ZA,-34.4187,19.2345,73.0,67,3,5.99,clear sky
15,Kieta,PG,-6.2167,155.6333,80.1,81,70,9.24,light rain
16,Cherskiy,RU,68.75,161.3,-30.84,84,88,4.68,overcast clouds
17,Hobart,AU,-42.8794,147.3294,62.6,88,90,5.75,overcast clouds
18,Auki,SB,-8.7676,160.7034,78.64,84,100,8.88,light rain
19,Rocha,UY,-34.4833,-54.3333,84.33,33,35,9.75,scattered clouds
20,Khatanga,RU,71.9667,102.5,-47.24,73,0,1.66,clear sky
21,Bhinmal,IN,25.0,72.25,56.77,30,0,6.64,clear sky
22,Tacuarembo,UY,-31.7333,-55.9833,81.5,60,73,10.92,broken clouds
23,Atuona,PF,-9.8,-139.0333,78.55,76,8,18.97,clear sky
24,Lazaro Cardenas,MX,17.9583,-102.2,83.61,51,100,2.95,overcast clouds
25,Morehead,US,37.2711,-87.1764,35.01,47,1,9.22,clear sky
26,Busselton,AU,-33.65,115.3333,64.0,80,0,1.99,clear sky
27,Airai,TL,-8.9266,125.4092,61.77,100,100,4.18,overcast clouds
28,Two Hills,CA,53.7169,-111.7518,-0.4,100,80,4.61,broken clouds
29,Karratha,AU,-20.7377,116.8463,82.6,76,1,5.68,clear sky
30,Coquimbo,CL,-29.9533,-71.3436,62.6,82,75,12.66,broken clouds
31,Ronne,DK,55.1009,14.7066,33.8,93,90,5.75,overcast clouds
32,Bandar-E Lengeh,IR,26.5579,54.8807,68.0,83,1,4.61,clear sky
33,Mataura,NZ,-46.1927,168.8643,48.0,80,32,8.01,scattered clouds
34,Klaksvik,FO,62.2266,-6.589,32.0,64,75,10.36,broken clouds
35,Salalah,OM,17.0151,54.0924,75.2,60,75,8.05,broken clouds
36,Jamestown,US,42.097,-79.2353,19.99,86,90,9.22,light snow
37,Mahebourg,MU,-20.4081,57.7,80.6,78,40,5.75,light rain
38,Roald,NO,62.5833,6.1333,33.8,86,90,20.71,light rain
39,Yumen,CN,40.2833,97.2,23.34,73,0,15.66,clear sky
40,Bredasdorp,ZA,-34.5322,20.0403,73.0,67,0,5.99,clear sky
41,Thompson,CA,55.7435,-97.8558,-4.0,84,75,4.61,broken clouds
42,Celestun,MX,20.8667,-90.4,73.33,67,75,11.68,broken clouds
43,Tiksi,RU,71.6872,128.8694,-30.32,85,86,4.72,overcast clouds
44,Ushuaia,AR,-54.8,-68.3,41.0,70,75,28.77,drizzle
45,Cape Town,ZA,-33.9258,18.4232,77.0,53,20,18.41,few clouds
46,Saldanha,ZA,-33.0117,17.9442,66.99,82,0,15.41,clear sky
47,Abashiri,JP,44.0213,144.2697,28.0,83,100,10.0,light snow
