City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nemuro,JP,2021-01-27 16:23:38,43.3236,145.575,25.0,91,54,15.68
1,Rikitea,PF,2021-01-27 16:28:04,-23.1203,-134.9692,79.77,71,0,14.65
2,Ushuaia,AR,2021-01-27 16:25:08,-54.8,-68.3,44.6,70,75,20.71
3,Katsuura,JP,2021-01-27 16:28:05,35.1333,140.3,48.0,71,75,11.5
4,Hithadhoo,MV,2021-01-27 16:28:05,-0.6,73.0833,81.7,78,20,13.94
5,Kijang,KR,2021-01-27 16:28:05,35.2442,129.2139,39.2,65,0,3.44
6,Cabedelo,BR,2021-01-27 16:24:56,-6.9811,-34.8339,86.0,66,75,13.8
7,Chuy,UY,2021-01-27 16:28:06,-33.6971,-53.4616,81.43,58,100,2.21
8,Busselton,AU,2021-01-27 16:28:06,-33.65,115.3333,54.0,78,0,14.5
9,Beringovskiy,RU,2021-01-27 16:25:33,63.05,179.3167,17.82,97,100,29.51
10,Sayat,TM,2021-01-27 16:28:06,38.7839,63.8803,37.4,70,0,9.22
11,Sergeyevka,KZ,2021-01-27 16:28:06,53.88,67.4158,20.44,97,74,11.39
12,Yellowknife,CA,2021-01-27 16:26:02,62.456,-114.3525,-11.0,77,90,3.44
13,Conde,BR,2021-01-27 16:28:07,-7.2597,-34.9075,86.0,66,75,13.8
14,Cape Town,ZA,2021-01-27 16:26:39,-33.9258,18.4232,71.6,46,0,27.63
15,Labuhan,ID,2021-01-27 16:28:07,-6.8844,112.2051,78.58,85,100,9.75
16,Te Anau,NZ,2021-01-27 16:28:07,-45.4167,167.7167,48.29,79,91,7.78
17,Saskylakh,RU,2021-01-27 16:28:07,71.9167,114.0833,-40.67,80,77,2.48
18,Bose,IT,2021-01-27 16:28:08,45.4612,8.0137,41.0,49,95,1.36
19,Vaini,TO,2021-01-27 16:28:08,-21.2,-175.2,73.4,94,90,3.44
20,Hobart,AU,2021-01-27 16:26:48,-42.8794,147.3294,55.4,50,90,4.61
21,Kargat,RU,2021-01-27 16:28:08,55.1956,80.2811,26.28,98,99,10.29
22,Acarau,BR,2021-01-27 16:28:08,-2.8856,-40.12,88.09,55,31,15.17
23,Asau,RO,2021-01-27 16:24:19,46.4333,26.4,32.0,52,100,6.42
24,Bluff,NZ,2021-01-27 16:28:09,-46.6,168.3333,53.01,76,76,23.0
25,Qaanaaq,GL,2021-01-27 16:28:09,77.484,-69.3632,-14.98,64,0,5.99
